"first_name","second_name","goals_scored","assist","total_points","minutes","goals_conceded","creativity","influence","threat","bonus","bps","ict_index","clean_sheets","red_card","yellow_card","selected_by_percent","value","position"
"David","Ospina","0","0","2","143","4","0.0","28.8","0.0","0","18","2.9","0","0","0","0.2","47","GK"
"Petr","Cech","0","0","134","3097","37","0.1","819.8","0.0","2","660","82.0","12","0","2","13.7","54","GK"
"Laurent","Koscielny","2","1","121","2821","37","53.9","831.2","239.0","19","723","112.7","10","1","4","11.2","61","DEF"
"Per","Mertesacker","0","0","1","38","1","0.1","17.8","0.0","0","5","1.8","0","0","0","0.2","48","DEF"
"Gabriel Armando","de Abreu","0","0","45","1517","18","84.5","295.8","119.0","2","296","50.0","5","0","6","0.8","48","DEF"
"Héctor","Bellerín","1","5","119","2503","34","508.3","437.6","395.0","12","569","133.8","10","0","4","13.9","65","DEF"
"Kieran","Gibbs","0","1","45","702","3","171.4","142.4","117.0","3","201","43.1","6","0","3","1.7","47","DEF"
"Mathieu","Debuchy","0","0","1","15","0","1.4","1.0","0.0","0","2","0.2","0","0","0","0.2","46","DEF"
"Carl","Jenkinson","0","0","2","82","1","2.0","19.4","0.0","0","12","2.1","0","0","0","0.1","48","DEF"
"Nacho","Monreal","0","3","115","3153","43","280.3","554.0","220.0","9","681","105.8","11","0","5","6.4","59","DEF"
"Calum","Chambers","2","1","83","2250","37","107.0","692.2","80.0","7","499","88.0","7","0","4","3.4","43","DEF"
"Alexis","Sánchez","24","11","264","3217","41","1278.3","1357.8","1896.0","32","834","453.4","13","0","6","29.7","117","MID"
"Theo","Walcott","10","3","122","1916","26","280.5","541.8","1023.0","7","380","184.1","8","0","1","4.2","72","MID"
"Mesut","Özil","8","11","167","2841","30","1649.3","834.4","734.0","19","729","322.0","12","0","2","7.5","95","MID"
"Santiago","Cazorla","2","2","38","618","5","221.7","198.2","89.0","5","159","50.8","4","0","2","1.4","70","MID"
"Aaron","Ramsey","1","4","56","1236","20","361.2","257.2","496.0","3","240","111.3","4","0","3","1.1","76","MID"
"Jack","Wilshere","0","3","61","1950","45","544.4","308.4","321.0","2","312","116.8","5","0","4","0.5","58","MID"
"Alex","Oxlade-Chamberlain","2","7","83","1564","22","519.9","435.4","416.0","3","393","137.5","4","0","1","1.4","58","MID"
"Serge","Gnabry","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.0","50","MID"
"Francis","Coquelin","0","1","52","1779","27","314.1","291.6","117.0","1","303","72.4","5","0","5","1.9","42","MID"
"Alex","Iwobi","3","5","89","1456","20","467.8","326.4","592.0","8","352","138.7","9","0","1","1.1","53","MID"
"Mohamed","Elneny","0","1","26","694","9","108.6","89.0","116.0","0","133","31.1","3","0","1","0.4","45","MID"
"Joel","Campbell","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.0","59","MID"
"Granit","Xhaka","2","3","85","2483","32","626.2","488.8","193.0","7","506","130.8","10","2","5","3.2","52","MID"
"Olivier","Giroud","12","5","116","1206","16","275.1","522.6","797.0","17","432","158.9","4","0","2","4.7","81","FWD"
"Danny","Welbeck","2","2","37","748","11","89.9","144.8","321.0","0","117","55.5","3","0","0","0.8","73","FWD"
"Yaya","Sanogo","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.1","46","FWD"
"Takuma","Asano","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.0","49","FWD"
"Artur","Boruc","0","0","120","3150","63","10.0","815.4","0.0","7","657","82.4","9","0","2","6.2","45","GK"
"Adam","Federici","0","0","8","180","3","0.0","34.4","0.0","1","37","3.5","1","0","1","0.1","44","GK"
"Simon","Francis","0","1","89","2938","54","291.2","748.2","130.0","7","639","117.3","10","1","4","1.4","45","DEF"
"Steve","Cook","2","0","112","3420","67","66.2","1123.0","391.0","17","777","158.2","10","0","5","3.2","48","DEF"
"Charlie","Daniels","4","3","134","3060","53","528.3","698.2","302.0","14","692","152.9","10","0","1","9.9","52","DEF"
"Adam","Smith","1","5","104","3101","61","509.8","566.6","242.0","12","645","132.1","8","0","6","7.0","46","DEF"
"Tyrone","Mings","0","0","4","506","16","18.3","125.4","45.0","2","89","18.9","0","0","0","0.0","45","DEF"
"Nathan","Aké","3","1","55","834","20","55.5","373.2","147.0","8","267","57.5","3","0","1","6.1","39","DEF"
"Harry","Arter","1","4","84","2956","62","533.0","482.0","343.0","6","513","135.4","9","1","11","0.3","50","MID"
"Marc","Pugh","2","3","64","1329","24","304.6","238.6","290.0","6","224","83.3","5","0","1","0.4","46","MID"
"Andrew","Surman","0","1","44","1800","38","223.8","256.8","90.0","0","288","57.0","4","1","1","0.1","46","MID"
"Eunan","O'Kane","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.3","44","MID"
"Shaun","MacDonald","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.1","45","MID"
"Junior","Stanislas","7","6","107","1467","29","406.9","454.6","418.0","13","372","128.0","4","0","1","1.3","46","MID"
"Dan","Gosling","2","0","49","1366","24","181.7","254.0","168.0","2","254","60.5","4","0","6","0.1","47","MID"
"Max","Gradel","0","0","8","134","1","18.2","24.6","70.0","0","24","10.8","0","0","3","0.1","50","MID"
"Emerson","Hyndman","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.0","44","MID"
"Jordon","Ibe","0","0","36","1055","22","268.3","113.0","235.0","0","133","61.5","3","0","0","1.1","49","MID"
"Lewis","Cook","0","2","17","432","7","89.8","100.8","28.0","1","81","21.8","1","0","1","0.8","42","MID"
"Joshua","King","16","3","178","2714","54","474.6","835.2","1007.0","17","553","231.6","9","0","1","19.3","62","MID"
"Callum","Wilson","6","1","63","1361","25","125.7","229.0","487.0","2","170","82.2","6","0","0","1.1","60","FWD"
"Tokelo","Rantie","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.3","45","FWD"
"Lewis","Grabban","0","1","6","60","2","11.8","24.2","17.0","0","17","5.3","0","0","0","2.9","43","FWD"
"Benik","Afobe","6","5","88","1458","24","320.7","350.0","639.0","9","259","130.8","5","0","1","1.2","53","FWD"
"Lys","Mousset","0","1","14","270","4","39.6","27.8","109.0","0","22","16.1","1","0","0","0.1","51","FWD"
"Tom","Heaton","0","0","149","3150","48","30.3","1001.6","0.0","21","741","103.2","10","0","1","18.6","51","GK"
"Matthew","Lowton","0","2","90","3240","53","491.5","770.6","80.0","5","631","134.2","9","0","9","0.8","45","DEF"
"Ben","Mee","1","2","94","3015","49","93.7","890.0","281.0","6","592","126.7","9","0","5","2.2","44","DEF"
"Stephen","Ward","1","1","91","3230","53","409.9","644.6","128.0","3","596","118.3","8","0","5","1.6","45","DEF"
"Michael","Keane","2","1","113","3150","49","96.7","930.8","557.0","10","619","158.6","10","0","4","3.3","50","DEF"
"James","Tarkowski","0","0","23","568","11","53.4","146.2","81.0","0","111","27.5","1","0","1","1.8","40","DEF"
"Tendayi","Darikwa","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.1","42","DEF"
"David","Jones","0","0","1","86","1","11.7","0.0","2.0","0","8","1.3","0","0","1","0.0","50","MID"
"George","Boyd","2","2","92","2837","45","268.4","330.6","376.0","2","386","97.2","9","0","3","0.2","51","MID"
"Scott","Arfield","1","2","69","2103","36","556.5","210.2","393.0","3","253","115.7","6","0","3","0.1","52","MID"
"Dean","Marney","1","2","51","1764","28","88.7","244.4","73.0","1","239","40.5","5","0","7","0.4","43","MID"
"Fredrik","Ulvestad","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.1","44","MID"
"Michael","Kightly","0","0","6","104","1","9.3","2.8","4.0","0","20","1.5","0","0","0","0.6","42","MID"
"Sam","Vokes","10","4","121","2064","34","248.1","500.0","907.0","12","394","164.6","5","0","0","3.2","57","FWD"
"Andre","Gray","9","3","108","2260","33","320.2","415.6","648.0","10","303","137.4","8","0","2","4.0","60","FWD"
"Lukas","Jutkiewicz","0","0","2","13","0","1.0","0.4","2.0","0","5","0.3","0","0","0","0.6","43","FWD"
"Ashley","Barnes","6","3","81","1774","27","277.1","328.8","663.0","10","241","125.5","6","1","6","4.3","46","FWD"
"Rouwen","Hennings","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.0","45","FWD"
"Chris","Long","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.3","45","FWD"
"Thibaut","Courtois","0","0","141","3240","28","0.0","517.6","0.0","0","623","52.0","16","0","1","14.1","59","GK"
"Asmir","Begovic","0","0","2","180","5","0.0","13.2","0.0","0","17","1.3","0","0","0","0.2","46","GK"
"John","Terry","1","0","21","496","9","24.3","104.6","104.0","0","97","23.3","1","0","1","1.9","52","DEF"
"Branislav","Ivanovic","0","1","23","589","9","69.4","114.6","112.0","2","143","29.4","1","0","2","2.7","56","DEF"
"César","Azpilicueta","1","5","170","3420","33","422.8","792.8","150.0","22","872","136.8","16","0","4","18.1","64","DEF"
"Gary","Cahill","6","0","178","3296","29","100.8","831.6","400.0","15","778","133.3","17","0","5","15.3","67","DEF"
"Kurt","Zouma","0","1","15","250","8","13.5","60.6","4.0","3","69","7.8","0","0","0","0.3","53","DEF"
"Abdul Rahman","Baba","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.0","55","DEF"
"Matt","Miazga","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.1","44","DEF"
"Eden","Hazard","16","9","224","2985","29","1306.8","1044.6","1162.0","33","869","351.6","17","0","3","30.6","105","MID"
"Cesc","Fàbregas","5","15","121","1340","14","881.8","635.0","325.0","14","529","184.1","4","0","8","3.3","70","MID"
"Oscar","dos Santos Emboaba Junior","0","1","17","455","6","197.4","97.4","128.0","0","104","42.2","1","0","1","0.5","71","MID"
"Juan","Cuadrado","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.5","69","MID"
"Willian","Borges Da Silva","8","3","114","1534","19","809.4","491.4","522.0","13","441","182.1","6","0","3","3.5","70","MID"
"Nemanja","Matic","1","8","105","2694","24","447.1","546.8","279.0","1","550","127.5","15","0","4","3.9","48","MID"
"Ruben","Loftus-Cheek","0","0","6","35","0","3.9","3.8","25.0","0","16","3.4","0","0","0","0.1","50","MID"
"John Obi","Mikel","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.1","44","MID"
"Pedro","Rodríguez Ledesma","9","10","162","2140","15","697.9","639.0","669.0","18","580","198.8","15","0","6","8.5","68","MID"
"Bertrand","Traore","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.0","54","MID"
"Victor","Moses","3","3","105","2485","15","456.2","528.6","683.0","6","476","166.7","17","0","4","2.2","55","MID"
"Marco","Van Ginkel","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.0","49","MID"
"Robert Kenedy","Nunes do Nascimento","0","0","3","90","3","11.8","1.8","46.0","0","8","6.0","0","0","0","0.0","51","MID"
"N'Golo","Kanté","1","1","83","3138","33","432.8","515.4","244.0","1","554","119.0","13","0","9","11.7","47","MID"
"Michy","Batshuayi","5","1","48","254","3","40.9","193.2","277.0","4","169","50.7","0","0","0","1.2","84","FWD"
"Diego","Da Silva Costa","20","11","196","3083","30","687.9","982.6","1891.0","25","657","355.0","14","0","10","32.2","104","FWD"
"Loïc","Remy","0","0","6","134","3","26.9","20.0","60.0","0","17","10.2","1","0","0","0.2","62","FWD"
"Julian","Speroni","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.2","43","GK"
"Wayne","Hennessey","0","0","92","2610","46","31.1","600.4","0.0","4","497","63.2","7","0","1","3.1","43","GK"
"Alex","McCarthy","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.1","43","GK"
"Steve","Mandanda","0","0","19","810","17","0.0","182.8","0.0","0","120","18.2","0","0","0","1.9","42","GK"
"James","Tomkins","3","0","75","1974","36","35.7","471.0","213.0","5","359","72.1","6","0","4","0.2","48","DEF"
"Scott","Dann","3","1","61","1752","36","73.1","459.0","426.0","4","310","96.0","2","0","2","2.1","51","DEF"
"Joel","Ward","0","1","86","3417","63","263.7","608.2","129.0","7","568","100.4","7","0","7","0.9","48","DEF"
"Martin","Kelly","0","2","46","2124","44","125.1","421.8","61.0","0","323","61.0","2","0","4","0.6","42","DEF"
"Damien","Delaney","0","2","51","2014","39","79.6","496.6","67.0","3","344","64.1","3","0","8","0.5","48","DEF"
"Pape","Souaré","0","0","6","270","3","33.5","53.6","9.0","0","37","9.7","0","0","0","0.2","41","DEF"
"Yannick","Bolasie","1","4","45","1048","14","326.7","238.0","252.0","3","172","81.8","3","0","3","1.7","56","MID"
"Jason","Puncheon","0","6","92","3093","53","941.8","500.2","448.0","6","500","188.7","7","0","9","0.7","51","MID"
"Wilfried","Zaha","7","11","149","3019","56","606.4","740.4","865.0","13","481","221.2","7","0","8","11.9","58","MID"
"Mile","Jedinak","0","0","2","90","1","31.2","11.8","0.0","0","8","4.3","0","0","0","0.1","45","MID"
"Joe","Ledley","1","1","40","1160","26","109.9","158.2","48.0","1","201","31.5","2","0","1","0.4","43","MID"
"James","McArthur","5","3","93","1999","39","284.5","400.4","300.0","8","363","97.7","3","0","5","1.0","47","MID"
"Jordon","Mutch","0","0","4","53","1","14.1","15.6","0.0","0","17","3.1","0","0","0","0.3","42","MID"
"Jonathan","Williams","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.0","45","MID"
"Chung-yong","Lee","0","1","24","471","13","125.0","71.2","44.0","0","103","23.9","2","0","0","0.3","42","MID"
"Yohan","Cabaye","4","4","91","2125","41","568.0","427.4","478.0","6","411","146.8","7","0","7","1.1","56","MID"
"Bakary","Sako","0","0","7","142","5","31.6","21.8","32.0","0","29","8.7","0","0","0","0.0","53","MID"
"Andros","Townsend","3","7","116","2520","38","852.4","552.4","511.0","16","492","191.3","7","0","4","2.2","57","MID"
"Fraizer","Campbell","1","0","16","165","4","25.9","42.4","84.0","0","56","15.2","0","0","0","1.0","44","FWD"
"Connor","Wickham","2","0","18","412","6","36.2","87.6","132.0","0","59","25.0","0","0","1","0.3","55","FWD"
"Joel","Robles","0","1","89","1737","20","10.0","439.2","0.0","5","407","44.9","10","0","2","0.9","47","GK"
"Maarten","Stekelenburg","0","0","68","1683","24","0.1","350.4","0.0","3","309","35.1","4","0","2","1.7","47","GK"
"Leighton","Baines","2","5","135","2819","34","695.0","570.8","151.0","15","647","141.9","11","0","4","11.0","58","DEF"
"Seamus","Coleman","4","4","133","2316","28","308.9","596.0","297.0","15","548","120.3","10","0","3","4.0","56","DEF"
"Phil","Jagielka","3","3","104","2251","32","71.7","751.4","278.0","16","533","110.1","6","1","4","7.5","49","DEF"
"John","Stones","0","0","59","2014","29","78.0","441.4","174.0","4","435","69.7","4","0","1","13.3","46","DEF"
"Brendan","Galloway","0","0","9","247","3","18.4","33.0","25.0","0","44","7.5","1","0","0","0.2","40","DEF"
"Tyias","Browning","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","2.0","39","DEF"
"Matthew","Pennington","1","0","9","180","6","10.7","63.8","33.0","0","37","10.8","0","0","0","0.9","39","DEF"
"Ramiro","Funes Mori","0","1","69","1543","19","64.0","346.2","129.0","4","365","54.0","7","0","0","1.4","45","DEF"
"Kevin","Mirallas","4","8","119","2074","26","682.1","439.6","739.0","8","420","185.4","11","0","2","2.2","59","MID"
"Ross","Barkley","5","11","144","2900","36","1237.6","692.4","973.0","11","534","290.3","12","0","5","6.6","70","MID"
"Tom","Cleverley","0","3","55","1848","40","438.1","255.2","93.0","0","294","78.7","3","0","4","0.1","51","MID"
"James","McCarthy","1","1","23","613","10","80.4","119.8","84.0","0","100","28.6","0","0","2","0.2","47","MID"
"Gareth","Barry","2","1","68","2109","28","400.6","509.4","244.0","3","371","115.0","7","0","10","3.2","43","MID"
"Darron","Gibson","0","0","17","640","12","51.5","72.4","16.0","0","101","13.8","1","0","4","0.1","43","MID"
"Muhamed","Besic","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.0","43","MID"
"Bryan","Oviedo","0","0","29","1323","26","155.4","250.6","37.0","0","223","44.4","3","0","4","0.1","42","MID"
"Gerard","Deulofeu","0","0","13","460","6","150.8","54.6","115.0","0","53","32.0","0","0","1","0.8","59","MID"
"Aaron","Lennon","0","1","22","509","5","93.4","78.0","54.0","0","104","22.3","2","0","0","0.2","55","MID"
"Romelu","Lukaku","25","6","221","3266","42","701.4","1171.6","1670.0","33","824","354.1","13","0","3","32.2","101","FWD"
"Arouna","Koné","0","0","6","78","3","19.6","7.8","22.0","0","17","4.9","0","0","0","0.7","51","FWD"
"Oumar","Niasse","4","1","44","1096","30","163.0","205.8","417.0","3","125","76.8","2","1","3","0.4","55","FWD"
"Allan","McGregor","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.0","44","GK"
"Eldin","Jakupovic","0","0","86","1980","36","0.3","554.2","4.0","7","431","55.8","5","0","0","21.9","41","GK"
"Brian","Lenihan","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","1.1","39","DEF"
"Curtis","Davies","0","2","38","2135","53","33.0","644.6","128.0","3","368","80.5","1","0","4","1.3","49","DEF"
"Michael","Dawson","3","0","46","1722","44","46.3","573.6","236.0","4","311","85.5","1","0","4","0.5","42","DEF"
"Moses","Odubajo","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.0","44","DEF"
"Andrew","Robertson","1","2","73","2736","59","352.8","502.6","100.0","4","488","95.6","5","0","5","1.9","44","DEF"
"Harry","Maguire","2","3","71","2307","53","157.2","707.6","439.0","5","483","130.6","4","0","5","0.8","44","DEF"
"Alex","Bruce","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.1","40","DEF"
"Robert","Snodgrass","7","6","133","2548","56","1050.1","550.2","538.0","16","503","212.3","3","0","2","6.3","55","MID"
"Sam","Clucas","3","1","87","3186","75","344.2","482.2","405.0","4","509","122.5","5","1","9","0.2","47","MID"
"Jake","Livermore","1","1","77","2970","62","323.5","556.4","283.0","2","458","116.5","4","1","5","0.1","47","MID"
"Ahmed","Elmohamady","0","2","62","2523","63","428.6","464.4","108.0","1","428","99.9","3","1","3","0.2","46","MID"
"Mohamed","Diamé","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.0","55","MID"
"Tom","Huddlestone","1","2","62","2025","47","300.3","344.4","130.0","5","348","77.6","4","1","5","0.2","45","MID"
"David","Meyler","1","0","33","962","23","123.6","164.6","81.0","0","179","37.1","2","0","2","0.2","44","MID"
"Shaun","Maloney","1","2","24","283","7","70.4","104.6","58.0","2","86","23.4","1","0","0","0.5","43","MID"
"Abel","Hernández","4","4","72","1425","23","190.4","219.4","532.0","6","208","93.6","4","0","0","0.9","59","FWD"
"Adama","Diomande","2","0","42","1171","29","195.4","141.0","259.0","2","127","58.7","2","0","1","3.6","43","FWD"
"Kasper","Schmeichel","0","0","109","2666","47","0.0","757.4","0.0","10","585","75.8","8","0","1","6.0","49","GK"
"Ron-Robert","Zieler","0","0","17","754","16","0.0","136.0","2.0","0","119","13.9","1","0","0","0.3","44","GK"
"Wes","Morgan","1","1","63","2430","45","48.4","480.0","284.0","0","360","81.4","5","0","3","10.3","46","DEF"
"Christian","Fuchs","2","4","104","3103","57","536.4","802.0","152.0","10","679","149.4","8","0","10","5.7","53","DEF"
"Jeffrey","Schlupp","0","2","47","1139","17","100.4","214.2","65.0","4","237","38.1","3","0","0","0.3","47","DEF"
"Marcin","Wasilewski","0","0","1","90","2","0.3","10.8","0.0","0","10","1.1","0","0","0","1.8","39","DEF"
"Ritchie","de Laet","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.1","44","DEF"
"Danny","Simpson","0","3","85","2988","50","199.0","531.2","50.0","4","529","77.9","9","0","12","2.1","49","DEF"
"Robert","Huth","2","2","88","2926","49","69.4","701.0","477.0","1","479","124.9","9","0","9","1.8","49","DEF"
"Yohan","Benalouane","0","0","27","917","15","22.0","158.2","54.0","0","156","23.6","4","0","4","1.0","40","DEF"
"Luis","Hernández","0","0","3","327","8","62.0","57.6","0.0","0","50","12.0","0","0","1","0.3","42","DEF"
"Riyad","Mahrez","6","4","120","2826","48","802.1","573.0","898.0","9","437","227.8","9","0","4","8.2","89","MID"
"Marc","Albrighton","2","6","95","2412","47","719.8","483.8","272.0","3","468","147.6","8","0","5","2.5","50","MID"
"Andy","King","1","0","41","1446","26","122.7","258.4","167.0","1","217","54.9","1","0","4","0.2","47","MID"
"Daniel","Drinkwater","1","1","69","2466","44","307.1","401.8","213.0","3","384","92.0","8","0","6","3.6","53","MID"
"Gökhan","Inler","0","0","0","0","0","0.0","0.0","0.0","0","0","0.0","0","0","0","0.1","44","MID"
"Demarai","Gray","1","4","58","1049","20","268.8","220.4","233.0","0","210","72.2","4","0","2","0.5","48","MID"
"Daniel","Amartey","1","1","53","1673","35","204.0","254.4","109.0","3","262","57.0","4","0","3","0.2","43","MID"
"Nampalys","Mendy","0","0","6","269","5","24.9","16.8","0.0","0","26","4.0","1","0","1","0.3","44","MID"
"Jamie","Vardy","13","8","161","2801","57","450.4","629.8","955.0","24","555","202.5","7","1","2","13.9","99","FWD"
"Leonardo","Ulloa","1","0","24","447","5","55.7","60.8","262.0","1","56","37.4","2","0","0","0.1","55","FWD"
"Shinji","Okazaki","3","1","63","1565","26","262.0","181.2","471.0","3","220","90.4","7","0","1","1.6","56","FWD"
"Ahmed","Musa","2","0","39","761","20","120.8","132.6","232.0","5","131","47.7","1","0","1","3.0","69","FWD"
"Simon","Mignolet","0","0","110","2520","30","0.0","461.2","0.0","7","506","46.0","9","0","0","3.5","48","GK"
"Loris","Karius","0","0","32","900","12","0.0","149.4","0.0","0","153","15.0","3","0","0","0.7","43","GK"
"Mamadou","Sakho","0","0","35","686","6","48.7","143.4","40.0","6","155","23.2","4","0","0","0.6","47","DEF"
"Dejan","Lovren","2","1","106","2553","31","119.2","715.4","236.0","6","589","107.1","11","0","6","5.6","49","DEF"
